user_id,sentiment,emotion,ngram_1,ngram_2,sentence_length,punctuation_count,vocab_richness,psychelingo,deceptdetect,emovolatility,intenttrace,powerdyno,trustmeter,riskprofile,cogbiasscan,stresssignal,role
user_0082,-0.2263,,the,the shipment,4,1,0.9999975000062501,0,0,0.967887326731301,0,neutral,0,neutral,none,0.0,supplier
user_0065,0.5106,,everything,everything is,6,2,0.9999983333361112,0,0,0.5205054771743844,0,neutral,1,neutral,none,0.0,supplier
user_0036,0.0,,payment,payment received,2,1,0.9999950000249999,0,0,0.1744460322361694,0,neutral,0,neutral,none,0.0,supplier
user_0016,0.0,,if,if you,6,2,0.9999983333361112,0,0,0.0024158675634244897,0,neutral,0,neutral,none,0.0,smuggler
user_0013,0.0,,if,if you,6,2,0.9999983333361112,0,0,0.5502035800379262,0,neutral,0,neutral,none,0.0,middleman
user_0069,0.0,,use,use the,4,1,0.9999975000062501,0,0,0.7955611259589688,0,dominant,0,neutral,none,0.0,smuggler
user_0028,-0.2732,,i,i feel,6,1,0.9999983333361112,1,0,0.22615640793477565,0,neutral,0,neutral,none,0.0,middleman
user_0034,-0.2732,,i,i feel,6,1,0.9999983333361112,1,0,0.87032852114332,0,neutral,0,neutral,none,0.0,smuggler
user_0021,0.3182,,i,i promise,7,2,0.9999985714306123,0,0,0.3373289651474548,0,neutral,1,neutral,none,0.0,smuggler
user_0038,0.3182,,i,i promise,7,2,0.9999985714306123,0,0,0.601385276822413,0,neutral,1,neutral,none,0.0,supplier
user_0021,0.0,,just,just follow,7,2,0.9999985714306123,0,0,0.23412511943799108,0,dominant,0,neutral,none,0.0,middleman
user_0011,0.6369,,are,are you,6,1,0.9999983333361112,0,0,0.6714343141807968,0,neutral,1,neutral,none,0.0,supplier
user_0097,0.0,,keep,keep it,3,1,0.9999966666777778,0,0,0.5611837893933013,0,dominant,0,neutral,none,0.0,middleman
user_0071,0.0,,use,use the,4,1,0.9999975000062501,0,0,0.49287138154988064,0,dominant,0,neutral,none,0.0,supplier
user_0028,0.0,,just,just follow,7,2,0.9999985714306123,0,0,0.726853369678312,0,dominant,0,neutral,none,0.0,middleman
user_0060,0.3612,,package,package is,5,1,0.9999980000040001,0,0,0.48095353277512887,0,neutral,0,neutral,none,0.0,supplier
user_0036,-0.296,,we,we need,9,2,0.8888879012356653,0,0,0.8154179399672613,1,neutral,0,bold,none,0.0,smuggler
user_0062,0.0,,keep,keep it,3,1,0.9999966666777778,0,0,0.635510294261946,0,dominant,0,neutral,none,0.0,supplier
user_0028,0.3612,,package,package is,5,1,0.9999980000040001,0,0,0.6141483775071875,0,neutral,0,neutral,none,0.0,supplier
user_0011,0.0,,change,change of,5,2,0.9999980000040001,0,0,0.5643191377723429,1,dominant,0,neutral,none,0.0,supplier
user_0073,0.2263,,dont,dont tell,5,2,0.9999980000040001,0,0,0.7700026986933047,0,dominant,0,neutral,none,0.0,supplier
user_0010,0.0,,meet,meet at,5,1,0.9999980000040001,0,0,0.17778274349078127,1,dominant,0,neutral,none,0.0,middleman
user_0021,-0.296,,we,we need,9,2,0.8888879012356653,0,0,0.8500659528266512,1,neutral,0,bold,none,0.0,middleman
user_0035,0.0,,everything,everything is,3,1,0.9999966666777778,0,0,0.19243303905934817,0,neutral,0,neutral,none,0.0,middleman
user_0036,0.3612,,package,package is,5,1,0.9999980000040001,0,0,0.8259024408256752,0,neutral,0,neutral,none,0.0,supplier
user_0070,0.3612,,package,package is,5,1,0.9999980000040001,0,0,0.7401464742387266,0,neutral,0,neutral,none,0.0,middleman
user_0032,-0.2263,,the,the shipment,4,1,0.9999975000062501,0,0,0.7809025974656341,0,neutral,0,neutral,none,0.0,smuggler
user_0095,0.0,,use,use the,4,1,0.9999975000062501,0,0,0.42675685896005133,0,dominant,0,neutral,none,0.0,middleman
user_0030,0.0,,use,use the,4,1,0.9999975000062501,0,0,0.3998989349697025,0,dominant,0,neutral,none,0.0,smuggler
user_0069,0.4588,,honestly,honestly i,8,4,0.9999987500015626,0,0,0.7331276497345529,0,dominant,0,neutral,none,0.2,smuggler
user_0066,-0.2263,,the,the shipment,4,1,0.9999975000062501,0,0,0.04242285981352634,0,neutral,0,neutral,none,0.0,supplier
user_0086,0.4588,,honestly,honestly i,8,4,0.9999987500015626,0,0,0.3406814874921068,0,dominant,0,neutral,none,0.2,middleman
user_0054,0.0,,if,if you,6,2,0.9999983333361112,0,0,0.77113941690736,0,neutral,0,neutral,none,0.0,middleman
user_0042,-0.296,,we,we need,9,2,0.8888879012356653,0,0,0.7211611988539488,1,neutral,0,bold,none,0.0,middleman
user_0097,0.0,,use,use the,4,1,0.9999975000062501,0,0,0.04881730421690178,0,dominant,0,neutral,none,0.0,supplier
user_0081,-0.2732,,i,i feel,6,1,0.9999983333361112,1,0,0.8298658166635748,0,neutral,0,neutral,none,0.0,smuggler
user_0090,0.2263,,dont,dont tell,5,2,0.9999980000040001,0,0,0.7791228504654538,0,dominant,0,neutral,none,0.0,middleman
user_0093,0.2263,,dont,dont tell,5,2,0.9999980000040001,0,0,0.4155025104356811,0,dominant,0,neutral,none,0.0,smuggler
user_0057,0.0,,let,let me,6,1,0.9999983333361112,0,0,0.5635537945145864,0,dominant,0,neutral,none,0.0,smuggler
user_0028,0.0,,let,let me,6,1,0.9999983333361112,0,0,0.9245480398834397,0,dominant,0,neutral,none,0.0,smuggler
user_0001,0.4767,,i,i swear,6,2,0.9999983333361112,0,0,0.9145912904803825,0,neutral,1,neutral,none,0.0,smuggler
user_0052,0.0,,change,change of,5,2,0.9999980000040001,0,0,0.5719723516677353,1,dominant,0,neutral,none,0.0,middleman
user_0034,0.0,,if,if you,6,2,0.9999983333361112,0,0,0.4434679927497739,0,neutral,0,neutral,none,0.0,smuggler
user_0061,0.0,,meet,meet at,5,1,0.9999980000040001,0,0,0.21037864784944182,1,dominant,0,neutral,none,0.0,smuggler
user_0031,0.0,,payment,payment received,2,1,0.9999950000249999,0,0,0.46103218376416344,0,neutral,0,neutral,none,0.0,middleman
user_0014,-0.2732,,i,i feel,6,1,0.9999983333361112,1,0,0.6059978078580195,0,neutral,0,neutral,none,0.0,middleman
user_0039,0.5106,,everything,everything is,6,2,0.9999983333361112,0,0,0.37388682399352224,0,neutral,1,neutral,none,0.0,supplier
user_0014,0.3182,,i,i promise,7,2,0.9999985714306123,0,0,0.3048197941082955,0,neutral,1,neutral,none,0.0,middleman
user_0094,-0.2732,,i,i feel,6,1,0.9999983333361112,1,0,0.3869908059574845,0,neutral,0,neutral,none,0.0,supplier
user_0042,0.0,,change,change of,5,2,0.9999980000040001,0,0,0.6805632732886026,1,dominant,0,neutral,none,0.0,smuggler
user_0053,0.6369,,are,are you,6,1,0.9999983333361112,0,0,0.15441699515098617,0,neutral,1,neutral,none,0.0,middleman
user_0085,-0.2732,,i,i feel,6,1,0.9999983333361112,1,0,0.28030483599640377,0,neutral,0,neutral,none,0.0,middleman
user_0016,0.0,,keep,keep it,3,1,0.9999966666777778,0,0,0.5615514274758098,0,dominant,0,neutral,none,0.0,middleman
user_0038,0.0,,use,use the,4,1,0.9999975000062501,0,0,0.8198700423440215,0,dominant,0,neutral,none,0.0,smuggler
user_0063,-0.2263,,the,the shipment,4,1,0.9999975000062501,0,0,0.627744981613982,0,neutral,0,neutral,none,0.0,smuggler
