user_id,message,timestamp,chat_group,role,psychelingo,deceptdetect,emovolatility,intenttrace,powerdyno,trustmeter,riskprofile,cogbiasscan,stresssignal
user_0082,the shipment is delayed.,2025-05-17T03:51:46.716365,group_5,supplier,0,0,0.7364712141640124,0,neutral,-0.15615636062945915,bold,overconfidence,0.21863797480360336
user_0065,"everything is under control, trust me.",2025-05-17T05:31:46.716365,group_9,supplier,1,0,0.4492090462838536,1,dominant,0.5176147342595345,bold,none,0.42261439815350255
user_0036,payment received.,2025-05-25T19:42:46.716365,group_6,supplier,0,1,0.09671637683346401,1,neutral,-0.47095826555597387,bold,none,0.45942487967184253
user_0016,"if you get caught, say nothing.",2025-05-19T14:36:46.716365,group_9,smuggler,1,0,0.7045718362149235,0,neutral,-0.5442034486969063,cautious,overconfidence,0.8553177210151469
user_0013,"if you get caught, say nothing.",2025-05-28T16:09:46.716365,group_8,middleman,1,0,0.37018096711688264,0,neutral,-0.4660443559017733,bold,none,0.6349782881970603
user_0069,use the new route.,2025-05-23T11:00:46.716365,group_8,smuggler,1,0,0.6846142509898746,0,dominant,0.6436051880136167,cautious,confirmation,0.26774087597570273
user_0028,i feel nervous about this run.,2025-05-30T08:14:46.716365,group_4,middleman,1,1,0.8846831538867025,1,dominant,-0.4702396670038951,bold,none,0.5613681341631508
user_0034,i feel nervous about this run.,2025-06-04T12:29:46.716365,group_10,smuggler,1,0,0.997325777989161,0,neutral,-0.012968330220737956,bold,overconfidence,0.15284131934826106
user_0021,"i promise, this is the last time.",2025-06-12T03:58:46.716365,group_2,smuggler,1,1,0.529114345099137,0,neutral,0.4414436387203893,cautious,none,0.34017547303104523
user_0038,"i promise, this is the last time.",2025-05-23T05:17:46.716365,group_8,supplier,1,0,0.5076816746043252,0,neutral,-0.4031104171027342,bold,overconfidence,0.37391385259114795
user_0021,"just follow my lead, don't ask questions.",2025-06-09T03:49:46.716365,group_1,middleman,1,1,0.019476742385832302,1,submissive,-0.5210953793238824,bold,none,0.9469494452979941
user_0011,are you sure this is safe?,2025-05-19T04:07:46.716365,group_9,supplier,0,1,0.9468486797049909,0,submissive,0.055347574836507984,cautious,overconfidence,0.9289134930021768
user_0097,keep it quiet.,2025-05-30T05:00:46.716365,group_7,middleman,1,1,0.8996140846429455,1,dominant,-0.5041887726679841,bold,confirmation,0.02103426000705888
user_0071,use the new route.,2025-06-11T19:16:46.716365,group_4,supplier,0,0,0.22894178381115438,0,submissive,-0.8582853002226931,bold,confirmation,0.6689777782962806
user_0028,"just follow my lead, don't ask questions.",2025-05-22T01:03:46.716365,group_10,middleman,1,0,0.7846194242907534,1,dominant,-0.8113484070162356,cautious,confirmation,0.4235786230199208
user_0060,package is ready for pickup.,2025-06-14T18:16:46.716365,group_2,supplier,1,1,0.8005925108616988,0,dominant,-0.616819855716692,cautious,overconfidence,0.4218816398344042
user_0036,"we need to move fast, no time to think.",2025-05-27T09:23:46.716365,group_2,smuggler,0,0,0.652144893998522,0,dominant,0.8527339660162552,bold,overconfidence,0.406414057952472
user_0062,keep it quiet.,2025-06-03T06:34:46.716365,group_1,supplier,1,0,0.9853088437797259,1,submissive,-0.42950154210615943,cautious,overconfidence,0.18989786726763713
user_0028,package is ready for pickup.,2025-06-11T09:09:46.716365,group_9,supplier,1,0,0.05014233726395356,1,neutral,0.8387742616641505,bold,overconfidence,0.9607789032744504
user_0011,"change of plans, update soon.",2025-05-19T03:22:46.716365,group_10,supplier,0,1,0.11988661394712419,0,neutral,0.1890383070668824,bold,confirmation,0.6573731644725225
user_0073,"don't tell anyone else, okay?",2025-05-30T10:05:46.716365,group_5,supplier,1,0,0.2656145125313538,0,neutral,0.291001577675299,cautious,confirmation,0.9290183317055142
user_0010,meet at the usual spot.,2025-06-05T21:06:46.716365,group_10,middleman,0,0,0.5376344041016273,1,dominant,0.8665187559874181,bold,overconfidence,0.36952708873888396
user_0021,"we need to move fast, no time to think.",2025-06-09T17:52:46.716365,group_5,middleman,0,1,0.9317560394360774,0,dominant,-0.47106815702574467,bold,none,0.5532236408848159
user_0035,everything is set.,2025-06-12T13:10:46.716365,group_4,middleman,1,0,0.6874971288013305,1,neutral,-0.02293629570124689,bold,overconfidence,0.6342844473091942
user_0036,package is ready for pickup.,2025-05-16T04:24:46.716365,group_6,supplier,1,0,0.7412309083479308,1,neutral,-0.9806606007833201,bold,none,0.9039285715598931
user_0070,package is ready for pickup.,2025-06-01T19:48:46.716365,group_10,middleman,0,1,0.12744551928213876,1,submissive,0.79796297748518,bold,confirmation,0.21007653833975404
user_0032,the shipment is delayed.,2025-06-01T02:50:46.716365,group_9,smuggler,0,0,0.864605696219964,0,submissive,-0.9504272762036226,cautious,confirmation,0.8022351389371389
user_0095,use the new route.,2025-05-28T03:57:46.716365,group_3,middleman,0,1,0.8721667829060897,1,dominant,-0.6008543399484962,cautious,confirmation,0.30519086733860057
user_0030,use the new route.,2025-05-17T02:22:46.716365,group_4,smuggler,1,1,0.8643529420302863,1,submissive,0.2829634772152554,cautious,none,0.9811496871982601
user_0069,"honestly, i don't know if this will work...",2025-05-17T06:40:46.716365,group_2,smuggler,0,1,0.03825719735326272,1,submissive,0.4570901213054086,cautious,confirmation,0.6062088533061433
user_0066,the shipment is delayed.,2025-06-02T13:16:46.716365,group_10,supplier,1,0,0.7087852838341706,0,neutral,0.8511503309981654,bold,confirmation,0.4312973996249869
user_0086,"honestly, i don't know if this will work...",2025-06-13T09:11:46.716365,group_6,middleman,0,1,0.5071225040352692,1,submissive,-0.19519922588455074,cautious,none,0.12728779905915322
user_0054,"if you get caught, say nothing.",2025-05-23T22:37:46.716365,group_10,middleman,1,1,0.5479372131356982,0,submissive,-0.4261725662621456,cautious,none,0.6066615704797627
user_0042,"we need to move fast, no time to think.",2025-06-05T03:04:46.716365,group_8,middleman,0,1,0.793735399106002,0,neutral,-0.8304089265497565,cautious,overconfidence,0.8184234645366643
user_0097,use the new route.,2025-05-30T03:35:46.716365,group_4,supplier,0,0,0.04621371809275843,1,neutral,0.6994753892494638,bold,confirmation,0.41444101099771935
user_0081,i feel nervous about this run.,2025-05-24T20:54:46.716365,group_7,smuggler,1,0,0.1475713450912982,0,dominant,0.5568408135346501,bold,overconfidence,0.804109856173143
user_0090,"don't tell anyone else, okay?",2025-06-06T03:56:46.716365,group_1,middleman,0,0,0.45646182547017256,1,neutral,0.06226377171117736,cautious,confirmation,0.6126523227617628
user_0093,"don't tell anyone else, okay?",2025-06-04T10:38:46.716365,group_9,smuggler,0,1,0.4500697572469081,0,neutral,-0.445377293738519,cautious,none,0.23924586381463286
user_0057,let me know when you arrive.,2025-05-29T00:37:46.716365,group_4,smuggler,1,1,0.8930268327903168,0,dominant,-0.6983386839738268,cautious,none,0.152805266577148
user_0028,let me know when you arrive.,2025-06-03T21:40:46.716365,group_7,smuggler,1,1,0.06226571058358532,1,submissive,0.8096769566803539,bold,none,0.38038102892771164
user_0001,"i swear, you can trust me.",2025-05-29T14:41:46.716365,group_7,smuggler,0,1,0.21942163462143616,1,submissive,-0.9419503601065695,cautious,none,0.6791418850283497
user_0052,"change of plans, update soon.",2025-06-06T07:02:46.716365,group_3,middleman,0,1,0.5918927756279109,0,dominant,0.2854992960186715,bold,confirmation,0.18172902651343215
user_0034,"if you get caught, say nothing.",2025-05-30T22:05:46.716365,group_4,smuggler,1,1,0.7612297078940271,1,submissive,0.5040196471095697,cautious,confirmation,0.8349109149121212
user_0061,meet at the usual spot.,2025-06-09T13:43:46.716365,group_1,smuggler,0,0,0.7812330496108949,0,dominant,0.8992234654319777,bold,overconfidence,0.6213356565861579
user_0031,payment received.,2025-06-06T13:47:46.716365,group_2,middleman,0,1,0.6994649712461508,1,dominant,0.21178538512062262,bold,overconfidence,0.9647207730340877
user_0014,i feel nervous about this run.,2025-05-17T04:34:46.716365,group_5,middleman,1,1,0.9414705985413097,0,dominant,0.1841957224997044,bold,overconfidence,0.6971930024957722
user_0039,"everything is under control, trust me.",2025-05-21T12:45:46.716365,group_10,supplier,1,1,0.6615213406873559,0,neutral,0.29508650811361026,bold,confirmation,0.8223309180900581
user_0014,"i promise, this is the last time.",2025-06-01T12:08:46.716365,group_8,middleman,0,1,0.17613696108605936,1,neutral,0.6163984376135119,cautious,confirmation,0.4355744930038943
user_0094,i feel nervous about this run.,2025-05-28T05:41:46.716365,group_6,supplier,0,1,0.881631184002772,0,submissive,0.13969928935664444,cautious,confirmation,0.02869999777008958
user_0042,"change of plans, update soon.",2025-06-07T05:04:46.716365,group_4,smuggler,1,1,0.279658488037586,1,neutral,-0.9796977711226458,bold,overconfidence,0.24135605037267993
user_0053,are you sure this is safe?,2025-06-10T06:56:46.716365,group_4,middleman,1,1,0.44817454958657077,0,dominant,-0.41152883735900536,cautious,none,0.24330516387675716
user_0085,i feel nervous about this run.,2025-06-01T19:36:46.716365,group_8,middleman,1,1,0.996631463959332,1,submissive,0.4057098843715379,cautious,confirmation,0.2514036762009415
user_0016,keep it quiet.,2025-05-30T09:11:46.716365,group_2,middleman,0,0,0.21638463987860568,1,submissive,0.44917000218610315,cautious,overconfidence,0.8326283633270679
user_0038,use the new route.,2025-06-01T10:42:46.716365,group_3,smuggler,0,0,0.2743113267832673,0,neutral,-0.4157267108944449,bold,none,0.868461197262944
user_0063,the shipment is delayed.,2025-05-16T13:55:46.716365,group_10,smuggler,1,1,0.44046879813601025,0,dominant,-0.4950432190140548,cautious,overconfidence,0.8221156452994304
user_0052,are you sure this is safe?,2025-05-19T09:27:46.716365,group_10,middleman,0,0,0.14919758447365516,1,dominant,0.9878362454204404,bold,none,0.7644434453261942
user_0078,"everything is under control, trust me.",2025-06-13T04:00:46.716365,group_4,middleman,1,1,0.9085043776238039,1,neutral,0.9800625209335958,cautious,none,0.6210273210721485
user_0079,the shipment is delayed.,2025-05-25T11:29:46.716365,group_4,smuggler,0,0,0.2398651776746924,0,dominant,-0.9946485547942285,cautious,none,0.5938111951195633
user_0038,package is ready for pickup.,2025-05-26T13:22:46.716365,group_5,middleman,1,1,0.07117976015347927,0,submissive,0.5756560532934627,bold,confirmation,0.11477630246104575
user_0029,payment received.,2025-05-28T02:40:46.716365,group_3,supplier,0,0,0.7926285662324116,1,submissive,-0.7512926836505835,cautious,none,0.4025085191628056
user_0035,"don't tell anyone else, okay?",2025-06-09T14:20:46.716365,group_8,smuggler,0,0,0.8894228892924536,1,neutral,-0.4992641951759922,bold,overconfidence,0.9619111021928367
user_0074,i feel nervous about this run.,2025-05-16T23:11:46.716365,group_5,middleman,0,0,0.47050082325163356,1,submissive,-0.6370217055537482,cautious,none,0.8142449445406034
user_0012,are you sure this is safe?,2025-05-31T20:35:46.716365,group_7,smuggler,1,0,0.8577330944003526,1,submissive,0.387347347966865,cautious,none,0.9451935395632106
user_0098,"just follow my lead, don't ask questions.",2025-05-17T16:36:46.716365,group_8,supplier,1,1,0.3232737862759947,1,neutral,0.6498544065374019,bold,none,0.8693674843206524
user_0060,"i promise, this is the last time.",2025-05-18T11:44:46.716365,group_4,middleman,1,1,0.625408742145009,0,dominant,-0.4658875234541351,bold,confirmation,0.43811609507237825
user_0090,are you sure this is safe?,2025-05-21T13:09:46.716365,group_1,middleman,0,0,0.3107501383933351,0,neutral,-0.18401862542019498,bold,overconfidence,0.4614478941787834
user_0016,payment received.,2025-06-07T16:53:46.716365,group_5,middleman,1,1,0.8347239455766944,1,dominant,-0.08642705453537292,bold,confirmation,0.19061037094792832
user_0077,"don't tell anyone else, okay?",2025-05-22T05:38:46.716365,group_2,smuggler,1,1,0.9342483936825201,1,dominant,-0.4343220334343467,cautious,none,0.5799233838834041
user_0085,are you sure this is safe?,2025-05-22T18:50:46.716365,group_8,middleman,1,1,0.33243995571074936,1,submissive,0.865704511430522,bold,none,0.23880554416624933
user_0050,use the new route.,2025-06-03T17:12:46.716365,group_1,smuggler,1,1,0.38607875249098234,0,submissive,0.9296488767418207,bold,none,0.9653535901768537
user_0043,the shipment is delayed.,2025-06-05T01:27:46.716365,group_2,middleman,1,0,0.7224438275706426,1,neutral,0.9399135880822125,bold,confirmation,0.7815252912730248
user_0034,"honestly, i don't know if this will work...",2025-06-13T09:17:46.716365,group_7,middleman,0,1,0.8523413365658931,1,submissive,0.2535983580159755,cautious,none,0.03589909983768658
user_0009,use the new route.,2025-06-13T17:55:46.716365,group_5,supplier,0,1,0.9783377282205457,0,submissive,-0.6672704265415497,cautious,overconfidence,0.04599096867721275
user_0008,everything is set.,2025-06-01T08:04:46.716365,group_6,smuggler,0,0,0.53116631814876,0,dominant,-0.6498612898741909,cautious,none,0.6831345799627139
user_0064,i feel nervous about this run.,2025-05-22T12:51:46.716365,group_4,smuggler,1,1,0.25532670815915404,0,submissive,0.802418847197766,bold,overconfidence,0.44172978360381443
user_0045,i feel nervous about this run.,2025-05-29T15:17:46.716365,group_7,middleman,1,1,0.8453039251425987,0,submissive,0.7066709173203716,bold,overconfidence,0.381364297657629
user_0046,i feel nervous about this run.,2025-05-29T11:42:46.716365,group_5,supplier,1,1,0.008097965761490244,0,neutral,0.4903443082679402,cautious,overconfidence,0.607064998164266
user_0046,use the new route.,2025-06-13T23:53:46.716365,group_4,middleman,1,0,0.6282481036868983,0,submissive,0.5772209680203078,bold,none,0.36486123302846973
user_0017,let me know when you arrive.,2025-05-29T10:52:46.716365,group_6,middleman,1,0,0.2007947946500762,1,neutral,0.003589524529680199,cautious,overconfidence,0.2569700845632623
user_0062,everything is set.,2025-05-31T10:30:46.716365,group_2,smuggler,0,0,0.7541514930613354,0,neutral,0.4484334241510364,cautious,none,0.3657750494055664
user_0051,meet at the usual spot.,2025-05-28T01:23:46.716365,group_9,supplier,1,1,0.6728283818737536,1,neutral,-0.23794900145504938,cautious,overconfidence,0.674836555375322
user_0061,meet at the usual spot.,2025-06-13T05:14:46.716365,group_9,smuggler,0,0,0.6354039223779391,1,neutral,-0.39561965094149953,cautious,overconfidence,0.13977701250722108
user_0005,everything is set.,2025-06-07T10:36:46.716365,group_2,supplier,0,0,0.3886458311501425,1,neutral,0.8987615368238109,cautious,none,0.7422690147653158
user_0020,"i promise, this is the last time.",2025-06-14T19:52:46.716365,group_2,smuggler,1,1,0.032716286855046905,1,dominant,-0.1132338278785967,bold,confirmation,0.09935462460613032
user_0088,"i swear, you can trust me.",2025-06-09T19:14:46.716365,group_6,supplier,1,1,0.18980856216107955,0,submissive,-0.8166531523649583,bold,none,0.6394929185297038
user_0003,package is ready for pickup.,2025-05-31T04:48:46.716365,group_4,supplier,0,0,0.8298178372171325,0,neutral,-0.5680972961626505,bold,confirmation,0.77436857780482
user_0077,meet at the usual spot.,2025-05-28T15:23:46.716365,group_3,supplier,1,0,0.10992634788943556,0,dominant,-0.9702793455385823,bold,none,0.32377146196202244
user_0023,contact the middleman first.,2025-05-18T09:46:46.716365,group_3,middleman,1,0,0.7456652750339957,1,submissive,0.5560340786284055,bold,confirmation,0.5038386897858214
user_0079,package is ready for pickup.,2025-06-15T00:13:46.716365,group_9,smuggler,1,0,0.06082540749450582,1,submissive,-0.1474527614400165,bold,confirmation,0.7124013148970963
user_0057,let me know when you arrive.,2025-05-19T16:46:46.716365,group_6,middleman,0,0,0.12619158830505606,1,submissive,0.9892555117218471,cautious,confirmation,0.5055510744856804
user_0056,the shipment is delayed.,2025-05-21T05:30:46.716365,group_9,middleman,0,1,0.4515549159652815,0,submissive,-0.3221367623296496,cautious,confirmation,0.41598965026149526
user_0013,"honestly, i don't know if this will work...",2025-06-04T10:40:46.716365,group_6,middleman,1,1,0.9535925176191249,1,dominant,-0.8175504232679027,bold,overconfidence,0.43187651855174025
user_0096,"i swear, you can trust me.",2025-05-21T22:39:46.716365,group_9,supplier,1,0,0.4108086329221582,1,neutral,-0.8971078400552479,cautious,none,0.31244889908765394
user_0014,i feel nervous about this run.,2025-06-08T02:45:46.716365,group_4,supplier,1,0,0.8472748481349526,1,neutral,-0.2648778987692997,cautious,none,0.22615909432784742
user_0055,"just follow my lead, don't ask questions.",2025-06-13T07:37:46.716365,group_10,middleman,0,1,0.028953181061268318,1,neutral,0.5248190359619958,cautious,confirmation,0.00610578940365869
user_0019,i feel nervous about this run.,2025-06-14T22:31:46.716365,group_7,supplier,0,0,0.09175768305444532,0,submissive,-0.1603350124709937,cautious,overconfidence,0.3700530924770039
user_0093,"honestly, i don't know if this will work...",2025-06-10T20:29:46.716365,group_10,supplier,0,0,0.15740989710715314,0,neutral,-0.8368369449361737,cautious,none,0.4240147731129952
user_0078,"we need to move fast, no time to think.",2025-06-03T20:55:46.716365,group_5,supplier,0,1,0.42991363339789035,1,neutral,0.35697250952026605,cautious,none,0.6671325587363496
user_0006,use the new route.,2025-06-03T00:15:46.716365,group_10,supplier,0,0,0.3014193620184368,0,dominant,0.5283217915224954,cautious,confirmation,0.11998434370554911
user_0064,"i promise, this is the last time.",2025-05-24T00:26:46.716365,group_3,smuggler,0,1,0.07207549659215784,0,submissive,-0.9625169268287086,bold,confirmation,0.5757591607368311
user_0074,"if you get caught, say nothing.",2025-06-14T03:44:46.716365,group_7,smuggler,0,1,0.02085655902474881,1,dominant,0.6026443086209043,cautious,none,0.9197697517413846
user_0012,"i promise, this is the last time.",2025-05-20T20:09:46.716365,group_4,smuggler,1,0,0.39576669685933297,1,neutral,-0.3209734377030722,cautious,overconfidence,0.07637937747302115
